978-0073376356_Basics of Engineering Economy 2nd Edition_Blank; Leland_Spring 2015_ECON 2107_3_Zeynep Arzu Kelani_2316_Required_60_35_58_999998_160_120_82_131.8_This text covers the basic techniques and applications of engineering economy for all disciplines in the engineering profession.
The writing style emphasizes brief, crisp coverage of the principle or technique discussed in order to reduce the time taken to present and grasp the essentials.
The objective of the text is to explain and demonstrate the principles and techniques of engineering economic analysis as applied in different fields of engineering. This brief text includes coverage of multiple attribute evaluation for instructors who want to include non-economic dimensions in alternative evaluation and the discussion of risk considerations in the appendix, compared to Blank's comprehensive text, where these topics are discussed in two unique chapters."


|978-1284045314_Java Illuminated 4th Edition_Anderson; Julie_Spring 2015_CSE 1302 C_1_Richard Gesick_3274_Recommended_30_10_15_999999_143.64_74.86_57.75_123.16_Each new print copy includes Navigate 2 Advantage Access that unlocks a comprehensive and interactive eBook, student practice activities and assessments, a full suite of instructor resources, and learning analytics reporting tools. Navigate 2 is nearly here. In the meantime, we invite you to redeem your Access Code and join our Lounge. Once your Navigate 2 Advantage Access is live, we will notify you via email. Fully revised and updated to reflect the most recent features in Java 7 and Java 8, Java Illuminated, Fourth Edition is one of the most interactive and user-friendly texts available. Comprehensive but accessible, the text takes a progressive approach to object-oriented programming, allowing students to build on established skills to develop new and increasingly complex classes. Java Illuminated follows an activity-based active learning approach that ensures student engagement and interest. This Fourth Edition now includes techniques for producing graphical output and animations using both applets and graphical applications. Packed with real-world applications and student activities, Java Illuminated, Fourth Edition, will draw students in to the world of programming. Key Features Include: • Supports recent features in Java 7 and Java 8, using switch with Strings (Example 5.14) and varargs (Examples 8.24–8.25) • Includes the addition of UML to many examples to better illustrate the architecture of the applications and the relationships between classes • Stronger coverage of interfaces and how they can be used to promote reusability of code • An expanded discussion of the Model-View-Controller architecture to better support students who are continuing on to more advanced programming courses, web programming, or mobile computing (for iPhone™ or Android™) • Chapter-by-chapter Programming Activities provide students with immediate visual feedback assessing the correctness of their code and give students the tools to fully understand and implement both basic and sophisticated techniques • Common Error Trap boxes warn against typical student errors • Look it Up programming projects promote independent student research Instructor and Student Support Materials: Every new, printed copy is packaged with a full suite of ancillary resources, including Navigate 2 Advantage Access that benefits BOTH the student and the Instructor! For the Instructor: • Lecture Slides in PowerPoint format • Solutions to Exercises • Test Bank For the Student: • Every NEW copy includes a free access card for Turing’s Craft CodeLab With Navigate 2, technology and content combine to expand the reach of your classroom. Whether you teach an online, hybrid, or traditional classroom-based course, Navigate 2 delivers unbeatable value. Experience Navigate 2 today at www.jblnavigate.com/2


|978-1442213531_Human Journey_Kevin Relly_Spring 2015_HIST 1110_1_DOVER_10328_Required_6_6_6_999999_93.57_85.89_28.19_66.99_No description available.

|978-1449649005_Nursing Ethics_Janie B. Butts
Karen L. Rich_Spring 2015_NURS 3302_1_PAYNE_10256_Required_5_5_5_999999_143.64_74.86_57.75_123.16_No description available.


|978-1449691998_Essentials of Software Engineering 3rd Edition_Tsui; Frank_Spring 2015_SWE 2313_2_Jonathan Lartigue_3092_Required_20_15_15_999997_116.81_54.03_22.5_103.96_Updated with new case studies and content, the fully revised Third Edition of Essentials of Software Engineering offers a comprehensive, accessible, and concise introduction to core topics and methodologies of software development. Designed for undergraduate students in introductory courses, the text covers all essential topics emphasized by the IEEE Computer Society-sponsored Software Engineering Body of Knowledge (SWEBOK). In-depth coverage of key issues, combined with a strong focus on software quality, makes Essentials of Software Engineering, Third Edition the perfect text for students entering the fast-growing and lucrative field of software development. The text includes thorough overviews of programming concepts, system analysis and design, principles of software engineering, development and support processes, methodologies, and product management. The revised and updated Third Edition includes all-new sections on SCRUM and HTML-Script-SQL Design Examples, as well as expanded discussions of User-Interface Design, Flow of Interactions, Cognitive Models, and other UI Design issues. Covering all phases of the software production lifecycle and emphasizing quality throughout, Essentials of Software Engineering is a superb resource for students of software engineering. Key Features: • Revised and fully updated throughout, with all-new sections on SCRUM and HTML-Script-SQL Design Examples, as well as expanded discussions of other central topics • Provides coverage of all essential topics emphasized by SWEBOK • Covers essential topics required for students to complete individual and team projects in an affordable and accessible paperback format. • Contains an all-new Appendix with examples of Essential Software Development Plan (SDP), Essential Software Requirements Specifications (SRS), Essential Software Design, and Essential Test Plan • Accompanied by a full suite of instructor support material, including answers to the end-of-chapter questions, PowerPoint Lecture Outlines, and a complete Test Bank

|978-1457666766_Writer's Reference_Hacker, Diana, 
Sommers, Nancy_Spring 2015_ENGL 0099_2_EYBELMAN_11435_Required_6_6_6_999999_160_120_82_131.8_No description available.

|978-1605769745_Vistas, 4th Edition, Supersite Plus Code (supersite & WebSAM & vtext) - Code Only_vhl_Spring 2015_CSE 1001_1_Wierra M. Flores_2831_Required_11_5_0_0_91.35_98.7_0_0_Supersite Plus Code (Supersite and WebSAM and vText) Get access to the program Supersite, the WebSAM, which is the online version of the workbook(s) and the vText, which is the online version of the textbook with one code.

|978-1607974147_Fundamentals of Computer Systems_Dan C. Lo, Kai Qian_Summer 2015_CS 3224_1_Dan C. Lo_5277_Required_50_48_50_0_68.57_51.55_0_0_Fundamentals of Computer Science contains the essnetials required to understand Computer Organization and Architecture
|978-9544007737_Fundamentals of Computer Programming with C#_Nakov; Svetlin _Spring 2015_CSE 1302 C_1_Richard Gesick_3274_Required_0_999999_34_999999_1.99_1.99_1.99_1.99_The free book ""Fundamentals of Computer Programming with C#"" (download it from http://www.introprogramming.info for free) is a comprehensive computer programming tutorial that teaches programming, logical thinking, data structures and algorithms, problem solving and high quality code with lots of examples in C#. It comes with free video lessons, presentations, exercises and solutions. This free programming tutorial starts with the first steps in programming and software development like variables, data types, conditional statements, loops and arrays and continues with other basic topics like methods, numeral systems, strings and string processing, exceptions, classes and objects.This free programming tutorial starts with the first steps in programming and software development like variables, data types, conditional statements, loops and arrays and continues with other basic topics like methods, numeral systems, strings and string processing, exceptions, classes and objects.
